127.0.0.1 - - [23/Apr/2020:17:03:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:27 +0900] "GET /myshop/ HTTP/1.1" 200 15088
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:27 +0900] "GET /myshop/resources/css/shop-homepage.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:27 +0900] "GET /myshop/resources/js/member.js HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:27 +0900] "GET /myshop/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:27 +0900] "GET /myshop/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78641
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:27 +0900] "GET /myshop/resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:28 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "POST /myshop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /myshop/ HTTP/1.1" 200 15513
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /myshop/resources/js/member.js HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /myshop/resources/css/shop-homepage.css HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /myshop/resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /myshop/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78641
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /myshop/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:31 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:33 +0900] "GET /myshop/resources/vendor/jquery/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:33 +0900] "GET /myshop/resources/js/member.js HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:33 +0900] "GET /myshop/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155764
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:33 +0900] "GET /myshop/resources/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78641
0:0:0:0:0:0:0:1 - - [23/Apr/2020:17:03:33 +0900] "GET /myshop/resources/css/shop-homepage.css HTTP/1.1" 200 291
